epoch,accuracy,loss,val_accuracy,val_loss
0,0.6136363744735718,1.010595679283142,0.7222222089767456,0.3356236517429352
1,0.75,0.5398320555686951,0.8888888955116272,0.2146245688199997
2,0.9090909361839294,0.2102312594652176,0.8333333134651184,0.36066490411758423
3,0.9090909361839294,0.21677421033382416,1.0,0.13083741068840027
4,0.9545454382896423,0.1387842446565628,1.0,0.1277925670146942
5,0.9772727489471436,0.09057191014289856,0.8333333134651184,0.29662397503852844
6,0.9545454382896423,0.09940245002508163,1.0,0.1116696298122406
7,0.9772727489471436,0.07073578983545303,0.8333333134651184,0.2552507519721985
8,0.9772727489471436,0.06491610407829285,0.9444444179534912,0.14994138479232788
9,1.0,0.03241485357284546,1.0,0.0824640691280365
10,1.0,0.02341604419052601,1.0,0.07384368777275085
11,1.0,0.019223647192120552,1.0,0.0684339702129364
12,1.0,0.018290646374225616,1.0,0.06684872508049011
13,1.0,0.017254697158932686,1.0,0.06665417551994324
14,1.0,0.016877299174666405,1.0,0.06648223102092743
15,1.0,0.01681348867714405,1.0,0.06634824723005295
16,1.0,0.01666383258998394,1.0,0.06622733920812607
17,1.0,0.016043247655034065,1.0,0.0660729855298996
18,1.0,0.015879422426223755,1.0,0.06595578044652939
19,1.0,0.015812652185559273,1.0,0.065839022397995
20,1.0,0.01528987381607294,1.0,0.06576105207204819
21,1.0,0.01520820613950491,1.0,0.06576891988515854
22,1.0,0.0152064748108387,1.0,0.0657142922282219
23,1.0,0.015162680298089981,1.0,0.06568446010351181
24,1.0,0.015118513256311417,1.0,0.06567270308732986
25,1.0,0.015087027102708817,1.0,0.06565242260694504
26,1.0,0.01506544928997755,1.0,0.06563141942024231
27,1.0,0.015051975846290588,1.0,0.06557128578424454
28,1.0,0.014984164386987686,1.0,0.06554745137691498
29,1.0,0.014961615204811096,1.0,0.06552176922559738
30,1.0,0.01492584403604269,1.0,0.06551967561244965
31,1.0,0.01492326520383358,1.0,0.06551813334226608
32,1.0,0.014925658702850342,1.0,0.06551020592451096
33,1.0,0.014917834661900997,1.0,0.06550490111112595
34,1.0,0.014914631843566895,1.0,0.06550490856170654
35,1.0,0.014912382699549198,1.0,0.06550176441669464
36,1.0,0.014908266253769398,1.0,0.06549716740846634
37,1.0,0.014905164018273354,1.0,0.0654940977692604
38,1.0,0.014903794974088669,1.0,0.06549018621444702
39,1.0,0.014903745613992214,1.0,0.06549210846424103
40,1.0,0.014895281754434109,1.0,0.06549084931612015
41,1.0,0.014894279651343822,1.0,0.0654907077550888
42,1.0,0.014894339255988598,1.0,0.06549138575792313
43,1.0,0.014893148094415665,1.0,0.06549030542373657
44,1.0,0.014893249608576298,1.0,0.0654907077550888
45,1.0,0.01489307638257742,1.0,0.06548942625522614
46,1.0,0.014891895465552807,1.0,0.06548914313316345
47,1.0,0.014892274513840675,1.0,0.06548834592103958
48,1.0,0.014892271719872952,1.0,0.06548917293548584
49,1.0,0.014891204424202442,1.0,0.06548771262168884
50,1.0,0.014890247024595737,1.0,0.06548770517110825
51,1.0,0.014890245161950588,1.0,0.06548770517110825
52,1.0,0.01489025354385376,1.0,0.06548767536878586
53,1.0,0.014890220947563648,1.0,0.06548766046762466
54,1.0,0.014890202321112156,1.0,0.06548765301704407
55,1.0,0.014890194870531559,1.0,0.06548760831356049
56,1.0,0.014890181832015514,1.0,0.06548761576414108
57,1.0,0.014890148304402828,1.0,0.06548760086297989
58,1.0,0.01489013060927391,1.0,0.06548759341239929
59,1.0,0.014890146441757679,1.0,0.0654875710606575
60,1.0,0.01489008404314518,1.0,0.06548755615949631
61,1.0,0.014890083111822605,1.0,0.0654875710606575
62,1.0,0.014890085905790329,1.0,0.0654875710606575
63,1.0,0.014890081249177456,1.0,0.0654875710606575
64,1.0,0.01489008404314518,1.0,0.0654875710606575
65,1.0,0.014890086837112904,1.0,0.0654875636100769
66,1.0,0.01489008404314518,1.0,0.0654875710606575
