epoch,accuracy,loss,val_accuracy,val_loss
0,0.8571428656578064,8.050466537475586,0.8333333134651184,9.53793716430664
1,0.8690476417541504,3.158177375793457,0.8055555820465088,2.0732269287109375
2,0.8333333134651184,6.2041497230529785,0.8333333134651184,9.605953216552734
3,0.8928571343421936,8.230570793151855,0.8888888955116272,2.388319969177246
4,0.9166666865348816,9.388465881347656,0.8333333134651184,35.06859588623047
5,0.8690476417541504,7.054103374481201,0.8333333134651184,7.32596492767334
6,0.8690476417541504,5.7347588539123535,0.8333333134651184,11.97776985168457
7,0.9285714030265808,3.107964038848877,0.9166666865348816,0.6286822557449341
8,0.9404761791229248,3.087785005569458,0.8333333134651184,7.907207012176514
9,0.9523809552192688,0.38994184136390686,0.8888888955116272,0.36170804500579834
10,0.9404761791229248,1.5140964984893799,0.9444444179534912,0.13634762167930603
11,0.988095223903656,0.17181089520454407,0.8611111044883728,1.6658684015274048
12,0.976190447807312,0.16186703741550446,0.8611111044883728,1.0128953456878662
13,0.9166666865348816,1.4142851829528809,0.8333333134651184,7.560436725616455
14,0.9047619104385376,2.6599416732788086,0.9166666865348816,0.5332959890365601
15,0.9642857313156128,0.33545777201652527,0.9166666865348816,0.11052296310663223
16,1.0,0.00046316353837028146,0.9444444179534912,0.09681316465139389
17,1.0,0.0002611906675156206,0.9444444179534912,0.09594841301441193
18,1.0,0.00019565744150895625,0.9444444179534912,0.09713827818632126
19,1.0,0.00019969308050349355,0.9444444179534912,0.09764767438173294
20,1.0,0.00019207617151550949,0.9444444179534912,0.09752243757247925
21,1.0,0.0001919926144182682,0.9166666865348816,0.09778512269258499
22,1.0,0.0001719403371680528,0.9444444179534912,0.09653865545988083
23,1.0,0.0001808071247069165,0.9444444179534912,0.09697526693344116
